full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total
BradyFU/Awesome-Multimodal-Large-Language-Models,2.0192,4.2403,-0.053061,0.6346,11.8857,2.0,2.1,1,0,1050,148,16144,859
huginn/huginn,0.5769,1.498,0.019551,0.2115,12.1333,0.1667,2.5966,1,1,4058,2170,47164,3819
MobSF/Mobile-Security-Framework-MobSF,0.4038,0.9043,-0.005592,0.25,12.381,0.0,2.2391,1,1,3462,1534,19340,2015
StevenBlack/hosts,6.1154,3.5608,0.049774,0.9808,2.2893,1.5833,0.5823,1,1,2341,2115,28772,4222
uber-go/zap,0.1346,0.4398,0.003031,0.0962,14.8571,0.0,3.267,1,1,1484,651,23580,698
datawhalechina/self-llm,6.1731,8.1281,-0.067233,0.7308,4.8598,0.0625,1.3167,1,1,2393,254,23801,1244
linera-io/linera-protocol,20.2885,9.128,-0.287843,0.9808,2.0701,0.7273,0.4499,1,1,1889,1259,28303,4521
unixorn/awesome-zsh-plugins,8.0769,5.0606,0.093742,0.9231,2.9714,1.8,0.6265,1,1,566,64,16740,5938
microsoft/TypeScript,5.2115,5.1714,0.071843,0.9423,4.9889,0.1818,0.9923,1,1,12976,42492,105775,36579
dhg/Skeleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3125,206,19419,167
langgenius/dify,79.7885,24.0994,0.179672,1.0,1.7045,0.681,0.302,1,1,17216,12821,112653,7005
tayllan/awesome-algorithms,0.4038,1.0788,0.012764,0.1731,14.8571,0.0,2.6713,1,0,2870,18,23553,277
Modernizr/Modernizr,0.2115,0.6603,0.007214,0.1346,18.9091,1000000000.0,3.1215,1,1,2966,1495,25666,2630
babysor/MockingBird,0.0385,0.1923,0.002561,0.0385,26.0,0.0,5.0,1,1,5261,888,36591,210
bigskysoftware/htmx,3.4231,4.5588,-0.085461,0.6731,6.1348,0.0,1.3318,1,1,1487,1579,45821,3430
minio/minio,2.8846,3.4511,-0.129685,0.6923,4.16,500000000.0,1.1964,1,1,6104,7819,54928,12533
